data,_loaded_at,_source
"{""event_id"": ""EVT-20240315-00000"", ""event_type"": ""CHECKOUT"", ""occurred_at"": ""22/02/2024 17:06:00"", ""customer"": {""id"": "" C-00049 "", ""name"": ""RAHUL PATEL"", ""email"": ""RAHUL.PATEL@GMAIL.COM"", ""phone"": ""(+91) 98765-43210"", ""tier"": ""gold"", ""address"": {""city"": ""delhi"", ""state"": ""DL"", ""country"": ""IN""}}, ""order"": {""order_id"": ""ORD-2024-00000"", ""channel"": ""mobile_app"", ""placed_at"": ""2024-02-22"", ""currency"": ""usd"", ""total_amount"": ""$0.00"", ""items"": [{""product_id"": ""P-206"", ""qty"": null, ""unit_price"": ""$921.69"", ""discount_pct"": 5}], ""payment"": {""method"": ""Debit Card"", ""status"": ""success"", ""gateway"": ""PayU""}}, ""metadata"": {""app_version"": ""3.0.8"", ""is_test_event"": ""false""}}",2024-02-22 17:06:00,web
"{""event_id"": ""EVT-20240315-00001"", ""event_type"": ""ORDER_PLACED"", ""occurred_at"": ""07/06/2024 19:01:00"", ""customer"": {""id"": "" C-00671 "", ""name"": ""RAHUL BROWN"", ""email"": ""RAHUL.BROWN@GMAIL.COM"", ""phone"": ""(+91) 98765-43210"", ""tier"": null, ""address"": {""city"": ""ahmedabad"", ""state"": ""GJ"", ""country"": ""IN""}}, ""order"": {""order_id"": ""ORD-2024-00001"", ""channel"": ""WEB"", ""placed_at"": ""2024-06-07"", ""currency"": ""usd"", ""total_amount"": ""$1,210.17"", ""items"": [{""product_id"": ""P-068"", ""qty"": ""2"", ""unit_price"": ""38.57"", ""discount_pct"": 10}, {""product_id"": ""P-318"", ""qty"": ""2"", ""unit_price"": ""$113.77"", ""discount_pct"": 5}, {""product_id"": ""P-111"", ""qty"": ""1"", ""unit_price"": ""905.49"", ""discount_pct"": 15}], ""payment"": {""method"": ""Credit Card"", ""status"": ""success"", ""gateway"": ""Razorpay""}}, ""metadata"": {""app_version"": ""3.3.1"", ""is_test_event"": ""false""}}",2024-06-07 19:01:00,partner_api
"{""event_id"": ""EVT-20240315-00002"", ""event_type"": ""order_cancelled"", ""occurred_at"": ""30/05/2024 14:18:00"", ""customer"": {""id"": "" C-00144 "", ""name"": ""JANE BROWN"", ""email"": ""JANE.BROWN@GMAIL.COM"", ""phone"": ""(+91) 98765-43210"", ""tier"": null, ""address"": {""city"": ""jaipur"", ""state"": ""RJ"", ""country"": ""IN""}}, ""order"": {""order_id"": ""ORD-2024-00002"", ""channel"": ""WEB"", ""placed_at"": ""2024-05-30"", ""currency"": ""USD"", ""total_amount"": ""$3,213.00"", ""items"": [{""product_id"": ""P-103"", ""qty"": ""5"", ""unit_price"": ""$470.70"", ""discount_pct"": 20}, {""product_id"": ""P-123"", ""qty"": ""5"", ""unit_price"": ""171.90"", ""discount_pct"": 20}, {""product_id"": ""P-313"", ""qty"": ""0"", ""unit_price"": ""$454.60"", ""discount_pct"": 15}], ""payment"": {""method"": ""UPI"", ""status"": ""PENDING"", ""gateway"": ""Razorpay""}}, ""metadata"": {""app_version"": ""3.1.3"", ""is_test_event"": ""false""}}",2024-05-30 14:18:00,web
"{""event_id"": ""EVT-20240315-00003"", ""event_type"": ""CHECKOUT"", ""occurred_at"": ""06/01/2024 13:48:00"", ""customer"": {""id"": "" C-00424 "", ""name"": ""ANITA SINGH"", ""email"": ""ANITA.SINGH@GMAIL.COM"", ""phone"": ""(+91) 98765-43210"", ""tier"": ""gold"", ""address"": {""city"": ""jaipur"", ""state"": ""RJ"", ""country"": ""IN""}}, ""order"": {""order_id"": ""ORD-2024-00003"", ""channel"": ""mobile_app"", ""placed_at"": ""2024-01-06"", ""currency"": ""USD"", ""total_amount"": ""$678.70"", ""items"": [{""product_id"": ""P-129"", ""qty"": ""2"", ""unit_price"": ""339.35"", ""discount_pct"": 30}, {""product_id"": ""P-234"", ""qty"": ""0"", ""unit_price"": ""896.36"", ""discount_pct"": 15}], ""payment"": {""method"": ""UPI"", ""status"": ""SUCCESS"", ""gateway"": ""Razorpay""}}, ""metadata"": {""app_version"": ""3.0.5"", ""is_test_event"": ""true""}}",2024-01-06 13:48:00,partner_api
"{""event_id"": ""EVT-20240315-00004"", ""event_type"": ""CHECKOUT"", ""occurred_at"": ""28/04/2024 02:49:00"", ""customer"": {""id"": "" C-00437 "", ""name"": ""NEHA DOE"", ""email"": ""NEHA.DOE@GMAIL.COM"", ""phone"": ""(+91) 98765-43210"", ""tier"": ""GOLD"", ""address"": {""city"": ""ahmedabad"", ""state"": ""GJ"", ""country"": ""IN""}}, ""order"": {""order_id"": ""ORD-2024-00004"", ""channel"": ""mobile_app"", ""placed_at"": ""2024-04-28"", ""currency"": ""INR"", ""total_amount"": ""$0.00"", ""items"": [{""product_id"": ""P-092"", ""qty"": null, ""unit_price"": ""$703.87"", ""discount_pct"": 5}], ""payment"": {""method"": ""UPI"", ""status"": ""success"", ""gateway"": ""PayU""}}, ""metadata"": {""app_version"": ""3.1.3"", ""is_test_event"": ""false""}}",2024-04-28 02:49:00,partner_api
"{""event_id"": ""EVT-20240315-00005"", ""event_type"": ""page_view"", ""occurred_at"": ""28/06/2024 10:05:00"", ""customer"": {""id"": "" C-00280 "", ""name"": ""ROHAN KUMAR"", ""email"": ""ROHAN.KUMAR@GMAIL.COM"", ""phone"": ""(+91) 98765-43210"", ""tier"": ""gold"", ""address"": {""city"": ""jaipur"", ""state"": ""RJ"", ""country"": ""IN""}}, ""order"": {""order_id"": ""ORD-2024-00005"", ""channel"": ""mobile_app"", ""placed_at"": ""2024-06-28"", ""currency"": ""inr"", ""total_amount"": ""$3,380.90"", ""items"": [{""product_id"": ""P-170"", ""qty"": ""2"", ""unit_price"": ""$821.35"", ""discount_pct"": 80}, {""product_id"": ""P-097"", ""qty"": ""0"", ""unit_price"": ""863.47"", ""discount_pct"": 15}, {""product_id"": ""P-139"", ""qty"": ""0"", ""unit_price"": ""408.03"", ""discount_pct"": 20}, {""product_id"": ""P-271"", ""qty"": ""5"", ""unit_price"": ""$347.64"", ""discount_pct"": 30}], ""payment"": {""method"": ""UPI"", ""status"": ""SUCCESS"", ""gateway"": ""PayU""}}, ""metadata"": {""app_version"": ""3.0.5"", ""is_test_event"": ""false""}}",2024-06-28 10:05:00,partner_api
"{""event_id"": ""EVT-20240315-00006"", ""event_type"": ""Add_To_Cart"", ""occurred_at"": ""26/02/2024 06:18:00"", ""customer"": {""id"": "" C-00324 "", ""name"": ""JANE DOE"", ""email"": ""JANE.DOE@GMAIL.COM"", ""phone"": ""(+91) 98765-43210"", ""tier"": ""GOLD"", ""address"": {""city"": ""jaipur"", ""state"": ""RJ"", ""country"": ""IN""}}, ""order"": {""order_id"": ""ORD-2024-00006"", ""channel"": ""WEB"", ""placed_at"": ""2024-02-26"", ""currency"": ""USD"", ""total_amount"": ""$2,701.59"", ""items"": [{""product_id"": ""P-397"", ""qty"": ""1"", ""unit_price"": ""$728.94"", ""discount_pct"": 15}, {""product_id"": ""P-104"", ""qty"": ""5"", ""unit_price"": ""253.35"", ""discount_pct"": 30}, {""product_id"": ""P-396"", ""qty"": ""1"", ""unit_price"": ""705.90"", ""discount_pct"": 15}, {""product_id"": ""P-028"", ""qty"": null, ""unit_price"": ""586.09"", ""discount_pct"": 20}], ""payment"": {""method"": ""Credit Card"", ""status"": ""success"", ""gateway"": ""Razorpay""}}, ""metadata"": {""app_version"": ""3.3.0"", ""is_test_event"": ""false""}}",2024-02-26 06:18:00,web
"{""event_id"": ""EVT-20240315-00006"", ""event_type"": ""ORDER_PLACED"", ""occurred_at"": ""23/06/2024 07:55:00"", ""customer"": {""id"": "" C-00189 "", ""name"": ""ANITA PATEL"", ""email"": ""ANITA.PATEL@GMAIL.COM"", ""phone"": ""(+91) 98765-43210"", ""tier"": null, ""address"": {""city"": ""jaipur"", ""state"": ""RJ"", ""country"": ""IN""}}, ""order"": {""order_id"": ""ORD-2024-00007"", ""channel"": ""WEB"", ""placed_at"": ""2024-06-23"", ""currency"": ""USD"", ""total_amount"": ""$7,120.00"", ""items"": [{""product_id"": ""P-322"", ""qty"": ""5"", ""unit_price"": ""574.09"", ""discount_pct"": 80}, {""product_id"": ""P-329"", ""qty"": ""5"", ""unit_price"": ""849.91"", ""discount_pct"": 30}], ""payment"": {""method"": ""UPI"", ""status"": ""SUCCESS"", ""gateway"": ""Stripe""}}, ""metadata"": {""app_version"": ""3.4.1"", ""is_test_event"": ""true""}}",2024-06-23 07:55:00,partner_api
"{""event_id"": ""EVT-20240315-00008"", ""event_type"": ""Add_To_Cart"", ""occurred_at"": ""15/01/2024 21:22:00"", ""customer"": {""id"": "" C-00577 "", ""name"": ""PRIYA DOE"", ""email"": ""PRIYA.DOE@GMAIL.COM"", ""phone"": ""(+91) 98765-43210"", ""tier"": ""Gold"", ""address"": {""city"": ""mumbai"", ""state"": ""MH"", ""country"": ""IN""}}, ""order"": {""order_id"": ""ORD-2024-00008"", ""channel"": ""mobile_app"", ""placed_at"": ""2024-01-15"", ""currency"": ""USD"", ""total_amount"": ""$650.71"", ""items"": [{""product_id"": ""P-302"", ""qty"": null, ""unit_price"": ""778.96"", ""discount_pct"": 15}, {""product_id"": ""P-334"", ""qty"": null, ""unit_price"": ""$498.36"", ""discount_pct"": 15}, {""product_id"": ""P-193"", ""qty"": ""1"", ""unit_price"": ""$650.71"", ""discount_pct"": 0}], ""payment"": {""method"": ""UPI"", ""status"": ""failed"", ""gateway"": ""Stripe""}}, ""metadata"": {""app_version"": ""3.1.5"", ""is_test_event"": ""false""}}",2024-01-15 21:22:00,web
"{""event_id"": ""EVT-20240315-00009"", ""event_type"": ""CHECKOUT"", ""occurred_at"": ""02/01/2024 18:16:00"", ""customer"": {""id"": "" C-00680 "", ""name"": ""EMMA BROWN"", ""email"": ""EMMA.BROWN@GMAIL.COM"", ""phone"": ""(+91) 98765-43210"", ""tier"": ""gold"", ""address"": {""city"": ""ahmedabad"", ""state"": ""GJ"", ""country"": ""IN""}}, ""order"": {""order_id"": ""ORD-2024-00009"", ""channel"": ""Partner_API"", ""placed_at"": ""2024-01-02"", ""currency"": ""inr"", ""total_amount"": ""$2,627.60"", ""items"": [{""product_id"": ""P-093"", ""qty"": ""5"", ""unit_price"": ""32.10"", ""discount_pct"": 30}, {""product_id"": ""P-335"", ""qty"": ""4"", ""unit_price"": ""$198.64"", ""discount_pct"": 5}, {""product_id"": ""P-082"", ""qty"": ""2"", ""unit_price"": ""$45.55"", ""discount_pct"": 10}, {""product_id"": ""P-324"", ""qty"": ""4"", ""unit_price"": ""395.36"", ""discount_pct"": 5}], ""payment"": {""method"": ""Credit Card"", ""status"": ""success"", ""gateway"": ""Stripe""}}, ""metadata"": {""app_version"": ""3.0.9"", ""is_test_event"": ""false""}}",2024-01-02 18:16:00,partner_api
